,position,company,state,salary,currency,start_sal,end_sal,term
118,ADMIN CLERK,Flows Ranger Sdn Bhd,Kuala Lumpur,MYR 2.3K - 2.5K monthly,MYR,2300,2500,monthly
123,RECEPTIONIST,Premier Clinic,Kuala Lumpur,MYR 1.6K - 2.3K monthly,MYR,1600,2300,monthly
125,Data Analyst 数据分析人员,J&T EXPRESS (MALAYSIA) SDN. BHD.,Kuala Lumpur,MYR 2.5K - 5K monthly,MYR,2500,5000,monthly
127,ACCOUNT EXECUTIVE,COOPER CAPITAL SDN. BHD.,Kuala Lumpur,MYR 3K - 4.5K monthly,MYR,3000,4500,monthly
129,CONVEYANCING CLERK,ROSENIDA AZLINA HAFIDZ & CO.,Kuantan,MYR 2K - 3K monthly,MYR,2000,3000,monthly
130,IT Executive 技术执行专员,AXIS RESOURCES,Selangor,MYR 2.4K - 3.4K monthly,MYR,2400,3400,monthly
132,Assistant Store Keeper,FAJARBARU BUILDER SDN BHD,Negeri Sembilan,MYR 1.6K - 2K monthly,MYR,1600,2000,monthly
134,IT Executive,Dytan Health On-line Sdn Bhd,Kuala Lumpur,MYR 2K - 2.5K monthly,MYR,2000,2500,monthly
136,Retail CDD Analyst (Fresh Graduate),RHB Banking Group,Kuala Lumpur,MYR 2K - 2.2K monthly,MYR,2000,2200,monthly
137,Marketing Executive,同心堂中医诊所 Tong Xin Tang Healthcare International Sdn Bhd,Cheras,MYR 3.2K - 4.5K monthly,MYR,3200,4500,monthly
139,Assistant Warehouse Manager,BIS CHEMICALS SDN. BHD.,Selangor,MYR 4K - 5K monthly,MYR,4000,5000,monthly
142,Account And Admin Executive,Khai Lien Silk Screen Suppliers (M) Sdn Bhd,Selangor,MYR 3.5K - 5K monthly,MYR,3500,5000,monthly
150,Accounts Executive,Daikin Applied (Malaysia) Sdn Bhd,Selangor,MYR 3K - 4K monthly,MYR,3000,4000,monthly
152,Accommodation Sales Person,GFG HOME REALTY SDN BHD,Shah Alam/Subang,MYR 2.2K - 4K monthly,MYR,2200,4000,monthly
155,QC Lab Assistant,WEI TAT FEEDMILL SDN. BHD.,Klang/Port Klang,MYR 1.5K - 2.5K monthly,MYR,1500,2500,monthly
159,COMPLIANCE OFFICER,Lima Bintang Logistics Sdn Bhd,Johor - Others,MYR 2K - 3.5K monthly,MYR,2000,3500,monthly
160,Marketing Executive,Straits Advisor Sdn Bhd,Kuala Lumpur,MYR 1.5K - 3K monthly,MYR,1500,3000,monthly
161,Site Supervisor (Electrical),TENAGA MA Sdn Bhd,Subang Jaya,MYR 2K - 3K monthly,MYR,2000,3000,monthly
163,Order Management Coordinator (Customer Service ),GN ReSound (Malaysia) Sdn Bhd,Johor Bahru,MYR 3.5K - 4.5K monthly,MYR,3500,4500,monthly
164,Indoor Sales Coordinator,Seng Choon Hardware (M) Sdn Bhd,Shah Alam/Subang,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
165,"Executive, Service",Sime Darby Industrial,Selangor,MYR 3K - 4.2K monthly,MYR,3000,4200,monthly
166,Ecommerce Operations Officer,Company Confidential,Bukit Mertajam,MYR 1.5K - 2K monthly,MYR,1500,2000,monthly
167,Production Admin,Econframe Marketing Sdn Bhd,Klang/Port Klang,MYR 3K - 4.2K monthly,MYR,3000,4200,monthly
175,Store Assistant,MA HUP SENG ENGINEERING SDN BHD,Selangor,MYR 2K - 3K monthly,MYR,2000,3000,monthly
